Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,79.629997,79.629997,79.629997,79.629997,77.757133,0
2020-02-03,80.290001,80.290001,80.290001,80.290001,78.401611,0
2020-02-04,81.529999,81.529999,81.529999,81.529999,79.612442,0
2020-02-05,82.349998,82.349998,82.349998,82.349998,80.413147,0
2020-02-06,82.570000,82.570000,82.570000,82.570000,80.627983,0
2020-02-07,82.110001,82.110001,82.110001,82.110001,80.178795,0
2020-02-10,82.730003,82.730003,82.730003,82.730003,80.784218,0
2020-02-11,82.930000,82.930000,82.930000,82.930000,80.979515,0
2020-02-12,83.459999,83.459999,83.459999,83.459999,81.497055,0
2020-02-13,83.419998,83.419998,83.419998,83.419998,81.457985,0
2020-02-14,83.570000,83.570000,83.570000,83.570000,81.604454,0
2020-02-18,83.379997,83.379997,83.379997,83.379997,81.418922,0
2020-02-19,83.790001,83.790001,83.790001,83.790001,81.819283,0
2020-02-20,83.559998,83.559998,83.559998,83.559998,81.594704,0
2020-02-21,82.680000,82.680000,82.680000,82.680000,80.735397,0
2020-02-24,79.959999,79.959999,79.959999,79.959999,78.079353,0
2020-02-25,77.500000,77.500000,77.500000,77.500000,75.677231,0
2020-02-26,77.080002,77.080002,77.080002,77.080002,75.267097,0
2020-02-27,73.760002,73.760002,73.760002,73.760002,72.025192,0
2020-02-28,73.129997,73.129997,73.129997,73.129997,71.410011,0
2020-03-02,76.300003,76.300003,76.300003,76.300003,74.505447,0
2020-03-03,74.250000,74.250000,74.250000,74.250000,72.503662,0
2020-03-04,77.250000,77.250000,77.250000,77.250000,75.433105,0
2020-03-05,74.660004,74.660004,74.660004,74.660004,72.904022,0
2020-03-06,73.330002,73.330002,73.330002,73.330002,71.605301,0
2020-03-09,67.580002,67.580002,67.580002,67.580002,65.990547,0
2020-03-10,70.769997,70.769997,70.769997,70.769997,69.105507,0
2020-03-11,67.169998,67.169998,67.169998,67.169998,65.590179,0
2020-03-12,60.689999,60.689999,60.689999,60.689999,59.262589,0
2020-03-13,66.139999,66.139999,66.139999,66.139999,64.584404,0
2020-03-16,58.009998,58.009998,58.009998,58.009998,56.645622,0
2020-03-17,61.360001,61.360001,61.360001,61.360001,59.916836,0
2020-03-18,57.770000,57.770000,57.770000,57.770000,56.411266,0
2020-03-19,58.480000,58.480000,58.480000,58.480000,57.104572,0
